lat,lon,type,round,rotation
-7.047686165,110.44192129,green_buoy,1,0
-7.047698635,110.44191611,red_buoy,1,0
-7.047674838,110.44190146,green_buoy,2,0
-7.047687162,110.44189594,red_buoy,2,0
-7.047673536,110.44188632,green_buoy,3,0
-7.047686064,110.44188128,red_buoy,3,0
-7.047704201,110.44182753,green_buoy,4,0
-7.047709399,110.44184007,red_buoy,4,0
-7.047719093,110.44182147,green_buoy,5,0
-7.047725307,110.44183353,red_buoy,5,0
-7.047739287,110.44181743,green_buoy,6,0
-7.047742713,110.44183057,red_buoy,6,0
-7.047749318,110.44181569,green_buoy,7,0
-7.047752482,110.44182891,red_buoy,7,0
-7.047783762,110.44185624,green_buoy,8,0
-7.047770438,110.44185836,red_buoy,8,0
-7.047782951,110.44187282,green_buoy,9,0
-7.047770049,110.44187678,red_buoy,9,0
-7.047790746,110.44189010,green_buoy,10,0
-7.047777854,110.44189410,red_buoy,10,0
-7.047769200,110.44192440,green_box,11,0
-7.047738200,110.44195820,blue_box,12,0
-7.047720000,110.44193500,red_box,13,45
